สนใจ[อาหารญี่ปุ่น],สนใจ[อาหารจึน],สนใจ[อาหารไทย],สนใจ[อาหารอีสาน],สนใจ[อาหารสุขภาพ],สนใจ[บุฟเฟต์],สนใจ[ชาบูชาบู],สนใจ[ปิ้งย่าง],สนใจ[เหล้าเบียร์],สนใจ[เสื้อผ้าแฟชั่น],สนใจ[แต่งหน้า],สนใจ[skincare บำรุงผิว],สนใจ[การออกกำลังกาย],สนใจ[การเล่นเกมส์],สนใจ[การท่องเที่ยว],สนใจ[การอ่านหนังสือ],สนใจ[การอ่านบทความ Online],สนใจ[การเรียน e-learning],สนใจ[ดู Series],สนใจ[ดูหนัง],สนใจ[ดู Youtube],สนใจ[ดู Netflix],สนใจ[Content ด้านบันเทิง],สนใจ[Content เกี่่ยวกับเกมส์],สนใจ[Content เกี่ยวกับการ review ร้านอาหาร],สนใจ[Content เกี่ยวกับการท่องเที่ยว],สนใจ[Content เกี่ยวกับการแต่งบ้าน],สนใจ[Content เกี่ยวกับการโทรทัศน์],สนใจ[Content เกี่ยวกับละคร],สนใจ[Content เกี่ยวกับการเมือง],บริโภค[อาหารญี่ปุ่น],บริโภค[อาหารจึน],บริโภค[อาหารไทย],บริโภค[อาหารอีสาน],บริโภค[อาหารสุขภาพ],บริโภค[บุฟเฟต์],บริโภค[ชาบูชาบู],บริโภค[ปิ้งย่าง],บริโภค[เหล้าเบียร์],บริโภค[เสื้อผ้าแฟชั่น],บริโภค[แต่งหน้า],บริโภค[skincare บำรุงผิว],บริโภค[การออกกำลังกาย],บริโภค[การเล่นเกมส์],บริโภค[การท่องเที่ยว],บริโภค[การอ่านหนังสือ],บริโภค[การอ่านบทความ Online],บริโภค[การเรียน e-learning],บริโภค[ดู Series],บริโภค[ดูหนัง],บริโภค[ดู Youtube],บริโภค[ดู Netflix],บริโภค[Content ด้านบันเทิง],บริโภค[Content เกี่่ยวกับเกมส์],บริโภค[Content เกี่ยวกับการ review ร้านอาหาร],บริโภค[Content เกี่ยวกับการท่องเที่ยว],บริโภค[Content เกี่ยวกับการแต่งบ้าน],บริโภค[Content เกี่ยวกับการโทรทัศน์],บริโภค[Content เกี่ยวกับละคร],บริโภค[Content เกี่ยวกับการเมือง],นอกเหนือจากรายการดังกล่าวแล้ว คุณมีความสนใจในเรื่องใดอีกบ้าง,Year,Month,Day,เพศ,อายุ,Rangeอายุ
สนใจอย่างมาก,เฉยๆ,สนใจอย่างมาก,สนใจ,สนใจอย่างมากที่สุด,สนใจอย่างมากที่สุด,สนใจอย่างมากที่สุด,สนใจอย่างมากที่สุด,สนใจอย่างมาก,เฉยๆ,ไม่สนใจอย่างมาก,เฉยๆ,สนใจ,เฉยๆ,สนใจอย่างมาก,สนใจ,เฉยๆ,เฉยๆ,เฉยๆ,เฉยๆ,สนใจ,เฉยๆ,ไม่สนใจอย่างมาก,ไม่สนใจอย่างมาก,สนใจ,สนใจอย่างมาก,เฉยๆ,ไม่สนใจอย่างมากที่สุด,ไม่สนใจอย่างมากที่สุด,เฉยๆ,เดือนละ 2-3 ครั้ง,หลายเดือนครั้ง,แทบทุกวัน,อาทิตย์ละครั้ง,อาทิตย์ละครั้ง,เดือนละครั้ง,เดือนละครั้ง,เดือนละ 2-3 ครั้ง,หลายเดือนครั้ง,แทบไม่ได้บริโภคเลย,แทบไม่ได้บริโภคเลย,แทบไม่ได้บริโภคเลย,อาทิตย์ละครั้ง,หลายเดือนครั้ง,เดือนละครั้ง,หลายเดือนครั้ง,แทบทุกวัน,หลายเดือนครั้ง,แทบไม่ได้บริโภคเลย,แทบไม่ได้บริโภคเลย,แทบทุกวัน,แทบไม่ได้บริโภคเลย,แทบไม่ได้บริโภคเลย,แทบไม่ได้บริโภคเลย,เดือนละ 2-3 ครั้ง,เดือนละ 2-3 ครั้ง,หลายเดือนครั้ง,แทบไม่ได้บริโภคเลย,แทบไม่ได้บริโภคเลย,แทบทุกวัน,ดนตรี,1993,1,29,ชาย,27,20-29
สนใจอย่างมากที่สุด,สนใจอย่างมาก,สนใจอย่างมากที่สุด,สนใจอย่างมากที่สุด,สนใจอย่างมาก,สนใจอย่างมาก,สนใจอย่างมาก,สนใจอย่างมาก,ไม่สนใจ,สนใจ,สนใจ,สนใจ,สนใจ,เฉยๆ,สนใจอย่างมากที่สุด,สนใจ,สนใจ,สนใจ,เฉยๆ,สนใจ,สนใจอย่างมาก,สนใจอย่างมาก,สนใจอย่างมาก,ไม่สนใจ,สนใจอย่างมากที่สุด,สนใจอย่างมากที่สุด,สนใจ,สนใจ,สนใจ,สนใจ,เดือนละครั้ง,หลายเดือนครั้ง,แทบทุกวัน,อาทิตย์ละครั้ง,อาทิตย์ละครั้ง,หลายเดือนครั้ง,หลายเดือนครั้ง,หลายเดือนครั้ง,แทบไม่ได้บริโภคเลย,หลายเดือนครั้ง,เดือนละครั้ง,เดือนละครั้ง,อาทิตย์ละครั้ง,แทบไม่ได้บริโภคเลย,แทบทุกวัน,เดือนละ 2-3 ครั้ง,เดือนละ 2-3 ครั้ง,เดือนละ 2-3 ครั้ง,เดือนละครั้ง,เดือนละ 2-3 ครั้ง,แทบทุกวัน,อาทิตย์ละครั้ง,เดือนละ 2-3 ครั้ง,แทบไม่ได้บริโภคเลย,แทบทุกวัน,แทบทุกวัน,เดือนละครั้ง,เดือนละครั้ง,เดือนละครั้ง,เดือนละครั้ง,สัตว์เลี้ยง น้องหมา น้องแมว,1992,3,14,หญิง,28,20-29
สนใจอย่างมาก,เฉยๆ,สนใจ,สนใจอย่างมาก,เฉยๆ,สนใจอย่างมาก,สนใจอย่างมาก,สนใจ,เฉยๆ,สนใจอย่างมากที่สุด,สนใจอย่างมากที่สุด,สนใจอย่างมากที่สุด,เฉยๆ,เฉยๆ,สนใจอย่างมาก,สนใจอย่างมากที่สุด,สนใจอย่างมากที่สุด,สนใจ,สนใจอย่างมากที่สุด,สนใจอย่างมากที่สุด,สนใจ,สนใจอย่างมาก,สนใจอย่างมากที่สุด,เฉยๆ,สนใจอย่างมาก,สนใจอย่างมาก,สนใจอย่างมาก,เฉยๆ,สนใจ,เฉยๆ,เดือนละครั้ง,เดือนละ 2-3 ครั้ง,แทบทุกวัน,เดือนละ 2-3 ครั้ง,แทบไม่ได้บริโภคเลย,หลายเดือนครั้ง,เดือนละครั้ง,หลายเดือนครั้ง,หลายเดือนครั้ง,อาทิตย์ละครั้ง,แทบทุกวัน,แทบทุกวัน,แทบไม่ได้บริโภคเลย,แทบไม่ได้บริโภคเลย,หลายเดือนครั้ง,อาทิตย์ละครั้ง,อาทิตย์ละครั้ง,เดือนละครั้ง,เดือนละ 2-3 ครั้ง,เดือนละ 2-3 ครั้ง,อาทิตย์ละครั้ง,เดือนละ 2-3 ครั้ง,แทบทุกวัน,แทบไม่ได้บริโภคเลย,อาทิตย์ละครั้ง,เดือนละ 2-3 ครั้ง,เดือนละ 2-3 ครั้ง,หลายเดือนครั้ง,เดือนละครั้ง,แทบทุกวัน,ขายของออนไลน์,1990,6,16,หญิง,30,20-29
เฉยๆ,สนใจ,สนใจ,สนใจ,ไม่สนใจ,เฉยๆ,เฉยๆ,สนใจอย่างมากที่สุด,สนใจอย่างมากที่สุด,ไม่สนใจ,ไม่สนใจอย่างมากที่สุด,ไม่สนใจอย่างมาก,สนใจอย่างมาก,สนใจอย่างมากที่สุด,สนใจอย่างมากที่สุด,เฉยๆ,สนใจ,เฉยๆ,สนใจอย่างมาก,สนใจอย่างมากที่สุด,สนใจ,สนใจอย่างมากที่สุด,ไม่สนใจ,ไม่สนใจอย่างมาก,ไม่สนใจ,สนใจ,สนใจอย่างมาก,เฉยๆ,เฉยๆ,สนใจ,หลายเดือนครั้ง,หลายเดือนครั้ง,แทบทุกวัน,เดือนละ 2-3 ครั้ง,เดือนละครั้ง,แทบไม่ได้บริโภคเลย,แทบไม่ได้บริโภคเลย,เดือนละ 2-3 ครั้ง,แทบทุกวัน,เดือนละครั้ง,แทบไม่ได้บริโภคเลย,แทบไม่ได้บริโภคเลย,อาทิตย์ละครั้ง,แทบทุกวัน,เดือนละ 2-3 ครั้ง,แทบทุกวัน,แทบทุกวัน,เดือนละครั้ง,อาทิตย์ละครั้ง,แทบทุกวัน,แทบทุกวัน,แทบทุกวัน,เดือนละครั้ง,เดือนละครั้ง,เดือนละครั้ง,เดือนละ 2-3 ครั้ง,อาทิตย์ละครั้ง,หลายเดือนครั้ง,หลายเดือนครั้ง,อาทิตย์ละครั้ง,ดนตรี,1985,12,4,ชาย,35,30-39
สนใจอย่างมาก,สนใจ,สนใจอย่างมาก,สนใจ,สนใจอย่างมาก,เฉยๆ,สนใจ,เฉยๆ,ไม่สนใจอย่างมากที่สุด,สนใจ,สนใจ,สนใจอย่างมาก,สนใจ,สนใจ,สนใจ,สนใจ,สนใจ,สนใจ,สนใจอย่างมาก,สนใจอย่างมาก,สนใจอย่างมาก,สนใจอย่างมาก,เฉยๆ,เฉยๆ,สนใจ,เฉยๆ,สนใจ,เฉยๆ,เฉยๆ,ไม่สนใจ,เดือนละครั้ง,เดือนละ 2-3 ครั้ง,แทบทุกวัน,เดือนละครั้ง,เดือนละ 2-3 ครั้ง,หลายเดือนครั้ง,หลายเดือนครั้ง,หลายเดือนครั้ง,แทบไม่ได้บริโภคเลย,เดือนละครั้ง,เดือนละ 2-3 ครั้ง,แทบทุกวัน,เดือนละ 2-3 ครั้ง,อาทิตย์ละครั้ง,หลายเดือนครั้ง,อาทิตย์ละครั้ง,อาทิตย์ละครั้ง,เดือนละ 2-3 ครั้ง,แทบทุกวัน,แทบทุกวัน,แทบทุกวัน,แทบทุกวัน,เดือนละครั้ง,เดือนละครั้ง,เดือนละ 2-3 ครั้ง,เดือนละครั้ง,เดือนละ 2-3 ครั้ง,เดือนละครั้ง,เดือนละครั้ง,หลายเดือนครั้ง,สัตว์เลี้ยง,1994,11,10,หญิง,26,20-29
สนใจอย่างมากที่สุด,สนใจอย่างมาก,สนใจ,เฉยๆ,สนใจอย่างมากที่สุด,สนใจ,สนใจ,สนใจอย่างมาก,ไม่สนใจอย่างมาก,ไม่สนใจอย่างมาก,ไม่สนใจ,สนใจ,สนใจอย่างมาก,สนใจอย่างมาก,สนใจอย่างมากที่สุด,สนใจอย่างมากที่สุด,สนใจอย่างมากที่สุด,สนใจอย่างมาก,สนใจอย่างมากที่สุด,สนใจ,เฉยๆ,สนใจอย่างมาก,สนใจ,สนใจ,สนใจอย่างมากที่สุด,สนใจอย่างมาก,สนใจ,เฉยๆ,เฉยๆ,สนใจอย่างมาก,อาทิตย์ละครั้ง,เดือนละครั้ง,แทบทุกวัน,เดือนละ 2-3 ครั้ง,อาทิตย์ละครั้ง,เดือนละครั้ง,เดือนละครั้ง,เดือนละครั้ง,หลายเดือนครั้ง,หลายเดือนครั้ง,แทบไม่ได้บริโภคเลย,หลายเดือนครั้ง,อาทิตย์ละครั้ง,แทบทุกวัน,หลายเดือนครั้ง,แทบทุกวัน,แทบทุกวัน,อาทิตย์ละครั้ง,แทบทุกวัน,หลายเดือนครั้ง,อาทิตย์ละครั้ง,แทบทุกวัน,อาทิตย์ละครั้ง,อาทิตย์ละครั้ง,แทบทุกวัน,แทบทุกวัน,อาทิตย์ละครั้ง,เดือนละครั้ง,หลายเดือนครั้ง,อาทิตย์ละครั้ง,ด้านการเกษตร,1987,8,28,ชาย,33,30-39
สนใจอย่างมากที่สุด,สนใจอย่างมากที่สุด,สนใจ,สนใจ,เฉยๆ,สนใจอย่างมาก,สนใจอย่างมากที่สุด,สนใจอย่างมาก,เฉยๆ,สนใจ,ไม่สนใจอย่างมากที่สุด,เฉยๆ,สนใจ,สนใจอย่างมากที่สุด,สนใจ,ไม่สนใจอย่างมาก,เฉยๆ,ไม่สนใจ,สนใจอย่างมาก,สนใจอย่างมาก,สนใจอย่างมาก,สนใจอย่างมาก,สนใจ,สนใจอย่างมาก,ไม่สนใจ,ไม่สนใจ,ไม่สนใจอย่างมาก,ไม่สนใจอย่างมากที่สุด,ไม่สนใจอย่างมากที่สุด,สนใจ,แทบทุกวัน,อาทิตย์ละครั้ง,แทบทุกวัน,อาทิตย์ละครั้ง,เดือนละ 2-3 ครั้ง,เดือนละ 2-3 ครั้ง,อาทิตย์ละครั้ง,เดือนละ 2-3 ครั้ง,อาทิตย์ละครั้ง,อาทิตย์ละครั้ง,แทบไม่ได้บริโภคเลย,เดือนละครั้ง,แทบทุกวัน,แทบทุกวัน,หลายเดือนครั้ง,หลายเดือนครั้ง,อาทิตย์ละครั้ง,หลายเดือนครั้ง,แทบทุกวัน,แทบทุกวัน,แทบทุกวัน,แทบทุกวัน,แทบทุกวัน,แทบทุกวัน,เดือนละครั้ง,เดือนละครั้ง,หลายเดือนครั้ง,แทบไม่ได้บริโภคเลย,แทบไม่ได้บริโภคเลย,อาทิตย์ละครั้ง,Gadget ,1993,7,22,ชาย,27,20-29
สนใจอย่างมาก,เฉยๆ,สนใจอย่างมาก,สนใจ,สนใจอย่างมาก,เฉยๆ,สนใจ,สนใจ,สนใจ,เฉยๆ,ไม่สนใจอย่างมาก,ไม่สนใจ,สนใจอย่างมากที่สุด,สนใจ,สนใจอย่างมาก,สนใจ,สนใจอย่างมาก,สนใจอย่างมาก,เฉยๆ,สนใจ,เฉยๆ,สนใจ,ไม่สนใจ,สนใจ,เฉยๆ,สนใจอย่างมาก,สนใจ,ไม่สนใจ,ไม่สนใจอย่างมาก,สนใจ,อาทิตย์ละครั้ง,หลายเดือนครั้ง,แทบทุกวัน,เดือนละ 2-3 ครั้ง,อาทิตย์ละครั้ง,หลายเดือนครั้ง,เดือนละ 2-3 ครั้ง,เดือนละครั้ง,เดือนละครั้ง,หลายเดือนครั้ง,แทบไม่ได้บริโภคเลย,หลายเดือนครั้ง,อาทิตย์ละครั้ง,อาทิตย์ละครั้ง,เดือนละครั้ง,เดือนละ 2-3 ครั้ง,แทบทุกวัน,อาทิตย์ละครั้ง,อาทิตย์ละครั้ง,เดือนละครั้ง,อาทิตย์ละครั้ง,อาทิตย์ละครั้ง,เดือนละ 2-3 ครั้ง,เดือนละ 2-3 ครั้ง,เดือนละ 2-3 ครั้ง,เดือนละ 2-3 ครั้ง,เดือนละครั้ง,หลายเดือนครั้ง,แทบไม่ได้บริโภคเลย,อาทิตย์ละครั้ง,Technology and Gadget,1978,9,12,ชาย,42,40
สนใจอย่างมาก,เฉยๆ,สนใจอย่างมาก,ไม่สนใจอย่างมากที่สุด,ไม่สนใจอย่างมากที่สุด,สนใจ,สนใจอย่างมาก,สนใจอย่างมากที่สุด,สนใจอย่างมากที่สุด,ไม่สนใจอย่างมากที่สุด,ไม่สนใจอย่างมากที่สุด,ไม่สนใจอย่างมากที่สุด,สนใจ,สนใจอย่างมากที่สุด,สนใจ,เฉยๆ,เฉยๆ,เฉยๆ,สนใจอย่างมาก,เฉยๆ,เฉยๆ,สนใจอย่างมาก,เฉยๆ,สนใจ,เฉยๆ,เฉยๆ,เฉยๆ,ไม่สนใจอย่างมาก,ไม่สนใจอย่างมาก,ไม่สนใจอย่างมาก,เดือนละครั้ง,แทบไม่ได้บริโภคเลย,แทบทุกวัน,แทบไม่ได้บริโภคเลย,แทบไม่ได้บริโภคเลย,เดือนละครั้ง,เดือนละครั้ง,เดือนละครั้ง,เดือนละ 2-3 ครั้ง,แทบไม่ได้บริโภคเลย,แทบไม่ได้บริโภคเลย,แทบไม่ได้บริโภคเลย,เดือนละ 2-3 ครั้ง,แทบทุกวัน,หลายเดือนครั้ง,เดือนละครั้ง,เดือนละ 2-3 ครั้ง,อาทิตย์ละครั้ง,แทบทุกวัน,เดือนละ 2-3 ครั้ง,แทบทุกวัน,แทบทุกวัน,เดือนละครั้ง,เดือนละ 2-3 ครั้ง,หลายเดือนครั้ง,หลายเดือนครั้ง,หลายเดือนครั้ง,แทบไม่ได้บริโภคเลย,แทบไม่ได้บริโภคเลย,หลายเดือนครั้ง,-,1991,4,12,ชาย,29,20-29
สนใจอย่างมาก,ไม่สนใจอย่างมาก,สนใจ,สนใจอย่างมาก,สนใจอย่างมาก,ไม่สนใจ,สนใจ,ไม่สนใจ,ไม่สนใจอย่างมากที่สุด,สนใจ,ไม่สนใจอย่างมากที่สุด,สนใจอย่างมาก,สนใจอย่างมาก,สนใจอย่างมากที่สุด,สนใจ,สนใจอย่างมาก,สนใจอย่างมากที่สุด,สนใจอย่างมาก,สนใจอย่างมากที่สุด,สนใจอย่างมากที่สุด,สนใจ,สนใจอย่างมาก,ไม่สนใจอย่างมาก,สนใจ,สนใจ,สนใจ,สนใจอย่างมาก,ไม่สนใจ,ไม่สนใจอย่างมากที่สุด,เฉยๆ,เดือนละครั้ง,แทบไม่ได้บริโภคเลย,แทบทุกวัน,เดือนละ 2-3 ครั้ง,อาทิตย์ละครั้ง,แทบไม่ได้บริโภคเลย,แทบไม่ได้บริโภคเลย,แทบไม่ได้บริโภคเลย,แทบไม่ได้บริโภคเลย,หลายเดือนครั้ง,แทบไม่ได้บริโภคเลย,หลายเดือนครั้ง,เดือนละ 2-3 ครั้ง,อาทิตย์ละครั้ง,แทบไม่ได้บริโภคเลย,อาทิตย์ละครั้ง,แทบทุกวัน,เดือนละ 2-3 ครั้ง,แทบทุกวัน,แทบไม่ได้บริโภคเลย,แทบทุกวัน,แทบทุกวัน,แทบไม่ได้บริโภคเลย,อาทิตย์ละครั้ง,แทบไม่ได้บริโภคเลย,แทบไม่ได้บริโภคเลย,แทบไม่ได้บริโภคเลย,แทบไม่ได้บริโภคเลย,แทบไม่ได้บริโภคเลย,หลายเดือนครั้ง,ดู Anime,1991,9,13,ชาย,29,20-29
สนใจอย่างมากที่สุด,สนใจอย่างมากที่สุด,สนใจอย่างมากที่สุด,สนใจ,เฉยๆ,สนใจ,สนใจอย่างมาก,สนใจอย่างมาก,เฉยๆ,สนใจ,สนใจ,สนใจ,เฉยๆ,เฉยๆ,สนใจอย่างมาก,สนใจ,สนใจอย่างมากที่สุด,สนใจอย่างมากที่สุด,สนใจอย่างมากที่สุด,สนใจ,สนใจอย่างมาก,สนใจอย่างมาก,สนใจอย่างมาก,เฉยๆ,สนใจอย่างมาก,สนใจอย่างมาก,เฉยๆ,เฉยๆ,เฉยๆ,เฉยๆ,แทบทุกวัน,เดือนละครั้ง,แทบทุกวัน,อาทิตย์ละครั้ง,เดือนละ 2-3 ครั้ง,เดือนละครั้ง,เดือนละ 2-3 ครั้ง,เดือนละ 2-3 ครั้ง,หลายเดือนครั้ง,เดือนละครั้ง,เดือนละ 2-3 ครั้ง,เดือนละ 2-3 ครั้ง,หลายเดือนครั้ง,หลายเดือนครั้ง,หลายเดือนครั้ง,เดือนละครั้ง,แทบทุกวัน,แทบทุกวัน,แทบทุกวัน,อาทิตย์ละครั้ง,แทบทุกวัน,แทบทุกวัน,อาทิตย์ละครั้ง,หลายเดือนครั้ง,อาทิตย์ละครั้ง,อาทิตย์ละครั้ง,หลายเดือนครั้ง,หลายเดือนครั้ง,หลายเดือนครั้ง,หลายเดือนครั้ง,ดูดวง,1994,11,28,หญิง,26,20-29
สนใจ,เฉยๆ,สนใจ,เฉยๆ,สนใจ,เฉยๆ,เฉยๆ,เฉยๆ,ไม่สนใจ,ไม่สนใจอย่างมาก,ไม่สนใจอย่างมากที่สุด,เฉยๆ,สนใจอย่างมาก,สนใจอย่างมากที่สุด,สนใจอย่างมาก,สนใจอย่างมากที่สุด,สนใจอย่างมากที่สุด,สนใจอย่างมาก,สนใจ,สนใจอย่างมาก,สนใจ,สนใจ,ไม่สนใจ,สนใจอย่างมาก,ไม่สนใจอย่างมาก,เฉยๆ,ไม่สนใจอย่างมาก,สนใจ,ไม่สนใจอย่างมากที่สุด,สนใจอย่างมาก,เดือนละ 2-3 ครั้ง,หลายเดือนครั้ง,แทบทุกวัน,เดือนละครั้ง,แทบไม่ได้บริโภคเลย,หลายเดือนครั้ง,หลายเดือนครั้ง,หลายเดือนครั้ง,แทบไม่ได้บริโภคเลย,แทบไม่ได้บริโภคเลย,แทบไม่ได้บริโภคเลย,แทบไม่ได้บริโภคเลย,อาทิตย์ละครั้ง,หลายเดือนครั้ง,แทบไม่ได้บริโภคเลย,เดือนละครั้ง,แทบทุกวัน,แทบทุกวัน,เดือนละ 2-3 ครั้ง,หลายเดือนครั้ง,แทบทุกวัน,เดือนละ 2-3 ครั้ง,แทบไม่ได้บริโภคเลย,อาทิตย์ละครั้ง,แทบไม่ได้บริโภคเลย,แทบไม่ได้บริโภคเลย,แทบไม่ได้บริโภคเลย,แทบไม่ได้บริโภคเลย,แทบไม่ได้บริโภคเลย,อาทิตย์ละครั้ง,Technology,1993,10,18,ชาย,27,20-29
สนใจอย่างมากที่สุด,สนใจ,เฉยๆ,สนใจ,ไม่สนใจอย่างมาก,สนใจอย่างมาก,สนใจ,สนใจ,ไม่สนใจอย่างมากที่สุด,ไม่สนใจอย่างมากที่สุด,เฉยๆ,เฉยๆ,เฉยๆ,เฉยๆ,สนใจอย่างมาก,เฉยๆ,สนใจ,สนใจ,สนใจอย่างมาก,สนใจอย่างมาก,สนใจอย่างมาก,สนใจอย่างมาก,สนใจอย่างมาก,ไม่สนใจ,สนใจอย่างมากที่สุด,สนใจอย่างมากที่สุด,ไม่สนใจ,ไม่สนใจ,ไม่สนใจ,ไม่สนใจอย่างมาก,เดือนละครั้ง,หลายเดือนครั้ง,แทบทุกวัน,เดือนละ 2-3 ครั้ง,แทบไม่ได้บริโภคเลย,เดือนละครั้ง,เดือนละครั้ง,เดือนละครั้ง,แทบไม่ได้บริโภคเลย,หลายเดือนครั้ง,หลายเดือนครั้ง,แทบทุกวัน,เดือนละ 2-3 ครั้ง,แทบไม่ได้บริโภคเลย,หลายเดือนครั้ง,อาทิตย์ละครั้ง,อาทิตย์ละครั้ง,เดือนละครั้ง,เดือนละครั้ง,เดือนละครั้ง,อาทิตย์ละครั้ง,เดือนละ 2-3 ครั้ง,อาทิตย์ละครั้ง,แทบไม่ได้บริโภคเลย,อาทิตย์ละครั้ง,อาทิตย์ละครั้ง,แทบไม่ได้บริโภคเลย,แทบไม่ได้บริโภคเลย,แทบไม่ได้บริโภคเลย,เดือนละครั้ง,การลงทุน,1992,5,29,หญิง,28,20-29
สนใจ,เฉยๆ,สนใจอย่างมากที่สุด,สนใจอย่างมาก,สนใจ,เฉยๆ,สนใจ,สนใจ,เฉยๆ,สนใจอย่างมาก,สนใจ,สนใจ,สนใจอย่างมาก,สนใจ,สนใจ,ไม่สนใจ,เฉยๆ,เฉยๆ,สนใจ,สนใจอย่างมาก,สนใจ,สนใจอย่างมาก,สนใจอย่างมาก,สนใจ,สนใจ,สนใจ,สนใจอย่างมาก,สนใจ,สนใจ,เฉยๆ,เดือนละ 2-3 ครั้ง,หลายเดือนครั้ง,เดือนละ 2-3 ครั้ง,อาทิตย์ละครั้ง,เดือนละ 2-3 ครั้ง,เดือนละครั้ง,เดือนละครั้ง,เดือนละ 2-3 ครั้ง,หลายเดือนครั้ง,อาทิตย์ละครั้ง,เดือนละ 2-3 ครั้ง,เดือนละ 2-3 ครั้ง,แทบทุกวัน,แทบทุกวัน,เดือนละครั้ง,เดือนละ 2-3 ครั้ง,แทบทุกวัน,เดือนละ 2-3 ครั้ง,เดือนละครั้ง,เดือนละครั้ง,แทบทุกวัน,เดือนละ 2-3 ครั้ง,อาทิตย์ละครั้ง,เดือนละครั้ง,อาทิตย์ละครั้ง,อาทิตย์ละครั้ง,อาทิตย์ละครั้ง,อาทิตย์ละครั้ง,อาทิตย์ละครั้ง,อาทิตย์ละครั้ง,รถยนต์,1991,7,29,หญิง,29,20-29
สนใจอย่างมาก,เฉยๆ,สนใจ,สนใจ,สนใจ,สนใจอย่างมาก,สนใจอย่างมาก,สนใจอย่างมาก,สนใจ,สนใจ,ไม่สนใจอย่างมากที่สุด,ไม่สนใจอย่างมากที่สุด,สนใจอย่างมากที่สุด,สนใจอย่างมาก,สนใจอย่างมาก,สนใจ,สนใจ,เฉยๆ,สนใจ,สนใจ,สนใจอย่างมาก,เฉยๆ,สนใจ,สนใจ,สนใจ,สนใจ,สนใจ,เฉยๆ,ไม่สนใจอย่างมากที่สุด,สนใจอย่างมาก,เดือนละครั้ง,หลายเดือนครั้ง,อาทิตย์ละครั้ง,อาทิตย์ละครั้ง,เดือนละ 2-3 ครั้ง,เดือนละครั้ง,เดือนละครั้ง,เดือนละครั้ง,แทบไม่ได้บริโภคเลย,หลายเดือนครั้ง,แทบไม่ได้บริโภคเลย,แทบไม่ได้บริโภคเลย,อาทิตย์ละครั้ง,แทบทุกวัน,หลายเดือนครั้ง,อาทิตย์ละครั้ง,แทบทุกวัน,เดือนละ 2-3 ครั้ง,อาทิตย์ละครั้ง,เดือนละ 2-3 ครั้ง,แทบทุกวัน,เดือนละ 2-3 ครั้ง,แทบทุกวัน,แทบทุกวัน,อาทิตย์ละครั้ง,เดือนละ 2-3 ครั้ง,เดือนละ 2-3 ครั้ง,เดือนละครั้ง,แทบไม่ได้บริโภคเลย,อาทิตย์ละครั้ง,กีฬา,1996,3,1,ชาย,24,20-29
สนใจอย่างมากที่สุด,สนใจอย่างมาก,สนใจ,สนใจอย่างมาก,สนใจอย่างมาก,สนใจ,สนใจอย่างมากที่สุด,สนใจอย่างมากที่สุด,ไม่สนใจอย่างมากที่สุด,สนใจอย่างมากที่สุด,ไม่สนใจอย่างมากที่สุด,เฉยๆ,ไม่สนใจอย่างมาก,ไม่สนใจอย่างมาก,ไม่สนใจอย่างมาก,สนใจอย่างมาก,สนใจอย่างมากที่สุด,สนใจอย่างมากที่สุด,เฉยๆ,สนใจ,สนใจอย่างมากที่สุด,สนใจอย่างมาก,ไม่สนใจอย่างมากที่สุด,ไม่สนใจอย่างมากที่สุด,เฉยๆ,เฉยๆ,สนใจ,ไม่สนใจอย่างมากที่สุด,ไม่สนใจอย่างมากที่สุด,เฉยๆ,เดือนละ 2-3 ครั้ง,เดือนละครั้ง,เดือนละ 2-3 ครั้ง,อาทิตย์ละครั้ง,แทบทุกวัน,เดือนละครั้ง,เดือนละครั้ง,เดือนละ 2-3 ครั้ง,แทบไม่ได้บริโภคเลย,หลายเดือนครั้ง,แทบไม่ได้บริโภคเลย,แทบทุกวัน,เดือนละครั้ง,หลายเดือนครั้ง,แทบไม่ได้บริโภคเลย,อาทิตย์ละครั้ง,อาทิตย์ละครั้ง,อาทิตย์ละครั้ง,เดือนละ 2-3 ครั้ง,เดือนละ 2-3 ครั้ง,แทบทุกวัน,เดือนละ 2-3 ครั้ง,แทบไม่ได้บริโภคเลย,แทบไม่ได้บริโภคเลย,แทบไม่ได้บริโภคเลย,แทบไม่ได้บริโภคเลย,หลายเดือนครั้ง,แทบไม่ได้บริโภคเลย,แทบไม่ได้บริโภคเลย,เดือนละครั้ง,กาแฟ / ชานมไข่มุก,1992,3,12,ชาย,28,20-29
